"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00025331","PALMER AIRPORT, AK US","1997-10-01",,,,,"51",",,M","36",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-02",,,,,"47",",,M","31",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-03",,,,,"45",",,M","27",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-04",,,,,"43",",,M","31",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-05",,,,,"43",",,M","28",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-06",,,,,"44",",,M","22",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-07",,,,,"46",",,M","35",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-08",,,,,"45",",,M","26",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-09",,,,,"46",",,M","25",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-10",,,,,"43",",,M","21",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-11",,,,,"41",",,M","20",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-12",,,,,"38",",,M","20",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-13",,,,,"34",",,M","14",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-14",,,,,"30",",,M","21",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-15",,,,,"29",",,M","15",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-16",,,,,"31",",,M","15",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-17",,,,,"27",",,M","9",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-18",,,,,"27",",,M","5",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-19",,,,,"30",",,M","22",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-20",,,,,"35",",,M","25",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-21",,,,,"34",",,M","27",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-22",,,,,"34",",,M","31",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-23",,,,,"32",",,M","20",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-24",,,,,"27",",,M","19",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-25",,,,,"24",",,M","10",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-26",,,,,"20",",,M","5",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-27",,,,,"18",",,M","2",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-28",,,,,"22",",,M","8",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-29",,,,,"31",",,M","22",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-30",,,,,"31",",,M","28",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-10-31",,,,,"29",",,M","25",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-01",,,,,"39",",,M","18",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-02",,,,,"32",",,M","25",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-03",,,,,"39",",,M","30",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-04",,,,,"36",",,M","31",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-05",,,,,"42",",,M","24",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-06",,,,,"44",",,M","22",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-07",,,,,"43",",,M","34",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-08",,,,,"49",",,M","38",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-09",,,,,"49",",,M","38",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-10",,,,,"45",",,M","36",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-11",,,,,"42",",,M","33",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-12",,,,,"43",",,M","34",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-13",,,,,"36",",,M","25",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-14",,,,,"29",",,M","22",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-15",,,,,"31",",,M","25",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-16",,,,,"35",",,M","27",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-17",,,,,"32",",,M","24",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-18",,,,,"32",",,M","27",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-19",,,,,"28",",,M","24",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-20",,,,,"25",",,M","20",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-21",,,,,"34",",,M","24",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-22",,,,,"27",",,M","21",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-23",,,,,"25",",,M","0",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-24",,,,,"7",",,M","-1",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-25",,,,,"18",",,M","-4",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-26",,,,,"35",",,M","18",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-27",,,,,"31",",,M","14",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-28",,,,,"24",",,M","15",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-29",,,,,"34",",,M","12",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-11-30",,,,,"37",",,M","26",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-01",,,,,"35",",,M","18",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-02",,,,,"27",",,M","11",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-03",,,,,"16",",,M","-3",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-04",,,,,"39",",,M","-3",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-05",,,,,"42",",,M","33",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-06",,,,,"38",",,M","22",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-07",,,,,"26",",,M","19",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-08",,,,,"22",",,M","13",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-09",,,,,"16",",,M","-2",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-10",,,,,"40",",,M","16",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-11",,,,,"41",",,M","31",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-12",,,,,"37",",,M","10",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-13",,,,,"15",",,M","7",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-14",,,,,"13",",,M","-3",",,M"
"USW00025331","PALMER AIRPORT, AK US","1997-12-15",,,,,"1",",,M","-12",",,M"
